Journal name,ISSN,eISSN,Category,Edition,Total Citations,2024 JIF,JIF Quartile,2024 JCI,% of Citable OA
JAMA Neurology,2168-6149,2168-6157,CLINICAL NEUROLOGY,SCIE,"23,516",21.4,Q1,6.16,24.0
EUROPEAN RESPIRATORY JOURNAL,0903-1936,1399-3003,RESPIRATORY SYSTEM,SCIE,"54,382",21.2,Q1,4.28,30.94
Science Bulletin,2095-9273,2095-9281,MULTIDISCIPLINARY SCIENCES,SCIE,"22,137",21.1,Q1,2.95,24.07
Journal of Thoracic Oncology,1556-0864,1556-1380,ONCOLOGY,SCIE,"27,302",20.8,Q1,4.24,22.07
Annual Review of Public Health,0163-7525,1545-2093,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE, SSCI","11,889",20.7,Q1,3.68,94.94
ANNALS OF THE RHEUMATIC DISEASES,0003-4967,1468-2060,RHEUMATOLOGY,SCIE,"53,850",20.6,Q1,5.08,38.34
Annual Review of Biochemistry,0066-4154,1545-4509,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,"21,076",20.5,Q1,1.72,55.88
Cell Stem Cell,1934-5909,1875-9777,CELL & TISSUE ENGINEERING,SCIE,"31,315",20.4,Q1,4.11,27.57
Lancet Microbe,,2666-5247,INFECTIOUS DISEASES,SCIE,"5,767",20.4,Q1,3.99,98.94
JAMA Oncology,2374-2437,2374-2445,ONCOLOGY,SCIE,"29,807",20.1,Q1,4.52,23.08
NATURE NEUROSCIENCE,1097-6256,1546-1726,NEUROSCIENCES,SCIE,"71,254",20.0,Q1,5.64,39.34
TRENDS IN PHARMACOLOGICAL SCIENCES,0165-6147,1873-3735,PHARMACOLOGY & PHARMACY,SCIE,"15,305",19.9,Q1,2.2,20.0
PSYCHOLOGICAL BULLETIN,0033-2909,1939-1455,PSYCHOLOGY,SCIE,"59,903",19.8,Q1,4.1,34.38
Cellular & Molecular Immunology,1672-7681,2042-0226,IMMUNOLOGY,SCIE,"16,944",19.8,Q1,2.74,48.86
Nature Aging,,2662-8465,CELL BIOLOGY,SCIE,"6,408",19.5,Q1,4.23,40.13
NATURE CELL BIOLOGY,1465-7392,1476-4679,CELL BIOLOGY,SCIE,"47,872",19.5,Q1,3.05,35.91
Nature Microbiology,2058-5276,2058-5276,MICROBIOLOGY,SCIE,"26,762",19.4,Q1,4.83,40.85
AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE,1073-449X,1535-4970,CRITICAL CARE MEDICINE,SCIE,"67,431",19.4,Q1,4.39,17.86
CLINICAL MICROBIOLOGY REVIEWS,0893-8512,1098-6618,MICROBIOLOGY,SCIE,"24,250",19.3,Q1,2.0,4.55
Cell Host & Microbe,1931-3128,1934-6069,MICROBIOLOGY,SCIE,"32,505",18.7,Q1,5.75,30.36
Nature Computational Science,,2662-8457,MULTIDISCIPLINARY SCIENCES,SCIE,"4,046",18.3,Q1,3.23,29.15
