Journal name,ISSN,eISSN,Category,Edition,Total Citations,2024 JIF,JIF Quartile,2024 JCI,% of Citable OA
JOURNAL OF TOXICOLOGY AND ENVIRONMENTAL HEALTH-PART B-CRITICAL REVIEWS,1093-7404,1521-6950,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",SCIE,"2,352",8.1,Q1,1.23,20.41
APOPTOSIS,1360-8185,1573-675X,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,"7,675",8.1,Q1,1.11,20.12
BASIC RESEARCH IN CARDIOLOGY,0300-8428,1435-1803,CARDIAC & CARDIOVASCULAR SYSTEMS,SCIE,"5,374",8.0,Q1,2.18,69.49
JOURNAL OF THE EUROPEAN ACADEMY OF DERMATOLOGY AND VENEREOLOGY,0926-9959,1468-3083,DERMATOLOGY,SCIE,"22,048",8.0,Q1,2.18,34.41
INVESTIGATIVE RADIOLOGY,0020-9996,1536-0210,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING",SCIE,"7,246",8.0,Q1,2.08,28.82
npj Precision Oncology,,2397-768X,ONCOLOGY,SCIE,"4,183",8.0,Q1,1.69,100.0
ACM Transactions on Computing for Healthcare,2691-1957,2637-8051,MEDICAL INFORMATICS,ESCI,801,8.0,Q1,1.36,15.22
GENOMICS PROTEOMICS & BIOINFORMATICS,1672-0229,2210-3244,GENETICS & HEREDITY,SCIE,"6,036",7.9,Q1,2.89,100.0
ECOLOGY LETTERS,1461-023X,1461-0248,ECOLOGY,SCIE,"39,999",7.9,Q1,2.01,49.26
JOURNAL OF HEADACHE AND PAIN,1129-2369,1129-2377,CLINICAL NEUROLOGY,SCIE,"9,027",7.9,Q1,1.97,100.0
HAEMATOLOGICA,0390-6078,1592-8721,HEMATOLOGY,SCIE,"22,335",7.9,Q1,1.9,98.94
BREAST,0960-9776,1532-3080,OBSTETRICS & GYNECOLOGY,SCIE,"8,178",7.9,Q1,1.82,99.28
NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS,0149-7634,1873-7528,NEUROSCIENCES,SCIE,"45,104",7.9,Q1,1.73,43.93
Annual Review of Genomics and Human Genetics,1527-8204,1545-293X,GENETICS & HEREDITY,SCIE,"3,346",7.9,Q1,1.11,95.31
Journal of Orthopaedic Translation,2214-031X,2214-031X,ORTHOPEDICS,SCIE,"4,053",7.8,Q1,3.39,99.63
European Review of Social Psychology,1046-3283,1479-277X,"PSYCHOLOGY, SOCIAL",SSCI,"2,846",7.8,Q1,3.23,37.14
PSYCHOLOGICAL METHODS,1082-989X,1939-1463,"PSYCHOLOGY, MULTIDISCIPLINARY",SSCI,"20,836",7.8,Q1,2.89,28.67
MONOGRAPHS OF THE SOCIETY FOR RESEARCH IN CHILD DEVELOPMENT,0037-976X,1540-5834,"PSYCHOLOGY, DEVELOPMENTAL",SSCI,"2,556",7.8,Q1,2.76,50.0
Eurosurveillance,1025-496X,1560-7917,INFECTIOUS DISEASES,SCIE,"12,027",7.8,Q1,2.69,96.15
JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY,0022-3050,1468-330X,CLINICAL NEUROLOGY,SCIE,"32,555",7.8,Q1,2.59,35.96
JPAD-Journal of Prevention of Alzheimers Disease,2274-5807,2426-0266,CLINICAL NEUROLOGY,SCIE,"3,106",7.8,Q1,2.09,94.85
Hepatobiliary Surgery and Nutrition,2304-3881,2304-389X,GASTROENTEROLOGY & HEPATOLOGY,SCIE,"2,354",7.8,Q1,1.17,99.15
MICROBIOLOGY AND MOLECULAR BIOLOGY REVIEWS,1092-2172,1098-5557,MICROBIOLOGY,SCIE,"13,349",7.8,Q1,0.96,1.0
SEMINARS IN IMMUNOLOGY,1044-5323,1096-3618,IMMUNOLOGY,SCIE,"7,259",7.8,Q1,0.92,32.45
ANNALS OF NEUROLOGY,0364-5134,1531-8249,CLINICAL NEUROLOGY,SCIE,"36,289",7.7,Q1,2.44,40.87
PLOS Digital Health,,2767-3170,HEALTH CARE SCIENCES & SERVICES,ESCI,"2,510",7.7,Q1,2.17,99.44
JACC-Clinical Electrophysiology,2405-500X,2405-5018,CARDIAC & CARDIOVASCULAR SYSTEMS,SCIE,"7,111",7.7,Q1,2.06,16.7
ENVIRONMENTAL RESEARCH,0013-9351,1096-0953,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",SCIE,"89,709",7.7,Q1,2.01,13.27
BRITISH JOURNAL OF PHARMACOLOGY,0007-1188,1476-5381,PHARMACOLOGY & PHARMACY,SCIE,"36,856",7.7,Q1,1.88,40.13
INTERNATIONAL JOURNAL OF SUSTAINABLE DEVELOPMENT AND WORLD ECOLOGY,1350-4509,1745-2627,ECOLOGY,SCIE,"3,917",7.7,Q1,1.75,6.67
Molecular Systems Biology,1744-4292,1744-4292,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,"10,050",7.7,Q1,1.7,96.77
GENES & DEVELOPMENT,0890-9369,1549-5477,CELL BIOLOGY,SCIE,"44,673",7.7,Q1,1.64,98.95
Cell Systems,2405-4712,2405-4720,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,"10,473",7.7,Q1,1.57,24.44
NEOPLASIA,1476-5586,1476-5586,ONCOLOGY,SCIE,"8,043",7.7,Q1,1.47,99.04
CLINICAL SCIENCE,0143-5221,1470-8736,"MEDICINE, RESEARCH & EXPERIMENTAL",SCIE,"12,590",7.7,Q1,1.21,72.41
CRITICAL REVIEWS IN BIOTECHNOLOGY,0738-8551,1549-7801,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,SCIE,"8,542",7.7,Q1,0.95,6.31
Lancet Regional Health-Americas,2667-193X,2667-193X,HEALTH CARE SCIENCES & SERVICES,ESCI,"3,493",7.6,Q1,2.62,98.86
EUROPEAN JOURNAL OF NUCLEAR MEDICINE AND MOLECULAR IMAGING,1619-7070,1619-7089,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING",SCIE,"23,795",7.6,Q1,2.41,47.83
Alzheimers Research & Therapy,,1758-9193,CLINICAL NEUROLOGY,SCIE,"11,801",7.6,Q1,2.23,100.0
ORGANIZATIONAL RESEARCH METHODS,1094-4281,1552-7425,"PSYCHOLOGY, APPLIED",SSCI,"13,561",7.6,Q1,2.19,25.81
BRITISH JOURNAL OF PSYCHIATRY,0007-1250,1472-1465,PSYCHIATRY,"SCIE, SSCI","23,353",7.6,Q1,2.07,73.8
BRAIN BEHAVIOR AND IMMUNITY,0889-1591,1090-2139,IMMUNOLOGY,SCIE,"27,294",7.6,Q1,2.03,42.24
MOVEMENT DISORDERS,0885-3185,1531-8257,CLINICAL NEUROLOGY,SCIE,"33,392",7.6,Q1,1.99,52.86
FRONTIERS IN ECOLOGY AND THE ENVIRONMENT,1540-9295,1540-9309,ECOLOGY,SCIE,"13,474",7.6,Q1,1.67,67.32
npj Breast Cancer,,2374-4677,ONCOLOGY,SCIE,"4,193",7.6,Q1,1.5,100.0
Mucosal Immunology,1933-0219,1935-3456,IMMUNOLOGY,SCIE,"10,575",7.6,Q1,1.31,56.85
Sensors and Actuators Reports,2666-0539,2666-0539,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,ESCI,"1,369",7.6,Q1,1.28,100.0
PROGRESS IN CARDIOVASCULAR DISEASES,0033-0620,1873-1740,CARDIAC & CARDIOVASCULAR SYSTEMS,SCIE,"6,379",7.6,Q1,1.27,16.82
ANAESTHESIA,0003-2409,1365-2044,ANESTHESIOLOGY,SCIE,"13,979",7.5,Q1,2.93,36.19
JOURNAL OF UROLOGY,0022-5347,1527-3792,UROLOGY & NEPHROLOGY,SCIE,"41,598",7.5,Q1,2.56,10.97
European Journal of Preventive Cardiology,2047-4873,2047-4881,CARDIAC & CARDIOVASCULAR SYSTEMS,SCIE,"11,766",7.5,Q1,2.28,28.81
Emerging Microbes & Infections,,2222-1751,IMMUNOLOGY,SCIE,"10,566",7.5,Q1,2.05,99.34
ECOLOGICAL MONOGRAPHS,0012-9615,1557-7015,ECOLOGY,SCIE,"12,416",7.5,Q1,1.97,40.35
EUROPACE,1099-5129,1532-2092,CARDIAC & CARDIOVASCULAR SYSTEMS,SCIE,"16,338",7.5,Q1,1.95,66.8
JHEP Reports,,2589-5559,GASTROENTEROLOGY & HEPATOLOGY,SCIE,"4,930",7.5,Q1,1.92,99.58
Journal of Translational Medicine,,1479-5876,"MEDICINE, RESEARCH & EXPERIMENTAL",SCIE,"31,533",7.5,Q1,1.63,99.84
BIOMEDICINE & PHARMACOTHERAPY,0753-3322,1950-6007,"MEDICINE, RESEARCH & EXPERIMENTAL",SCIE,"82,328",7.5,Q1,1.62,99.87
GASTROINTESTINAL ENDOSCOPY,0016-5107,1097-6779,GASTROENTEROLOGY & HEPATOLOGY,SCIE,"24,376",7.5,Q1,1.57,10.45
CURRENT BIOLOGY,0960-9822,1879-0445,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,"77,929",7.5,Q1,1.54,31.93
ARCHIVES OF PHARMACAL RESEARCH,0253-6269,1976-3786,PHARMACOLOGY & PHARMACY,SCIE,"8,658",7.5,Q1,1.37,7.55
DRUG DISCOVERY TODAY,1359-6446,1878-5832,PHARMACOLOGY & PHARMACY,SCIE,"22,695",7.5,Q1,1.02,26.12
CURRENT OPINION IN MICROBIOLOGY,1369-5274,1879-0364,MICROBIOLOGY,SCIE,"12,872",7.5,Q1,0.79,46.03
Food Science and Human Wellness,,2213-4530,NUTRITION & DIETETICS,SCIE,"6,386",7.4,Q1,1.89,99.72
ARTERIOSCLEROSIS THROMBOSIS AND VASCULAR BIOLOGY,1079-5642,1524-4636,HEMATOLOGY,SCIE,"34,597",7.4,Q1,1.81,13.71
Cellular and Molecular Gastroenterology and Hepatology,2352-345X,2352-345X,GASTROENTEROLOGY & HEPATOLOGY,SCIE,"6,848",7.4,Q1,1.79,99.18
Circulation-Cardiovascular Interventions,1941-7640,1941-7632,CARDIAC & CARDIOVASCULAR SYSTEMS,SCIE,"7,254",7.4,Q1,1.71,14.4
CNS DRUGS,1172-7047,1179-1934,CLINICAL NEUROLOGY,SCIE,"6,972",7.4,Q1,1.58,52.44
CLINICAL NUTRITION,0261-5614,1532-1983,NUTRITION & DIETETICS,SCIE,"27,034",7.4,Q1,1.51,32.49
Journal of Translational Internal Medicine,2450-131X,2224-4018,"MEDICINE, GENERAL & INTERNAL",SCIE,"1,325",7.4,Q1,1.23,80.0
AMYLOID-JOURNAL OF PROTEIN FOLDING DISORDERS,1350-6129,1744-2818,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,"2,447",7.4,Q1,1.2,21.1
REDOX REPORT,1351-0002,1743-2928,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,"2,380",7.4,Q1,1.2,100.0
Ecological Informatics,1574-9541,1878-0512,ECOLOGY,SCIE,"12,572",7.3,Q1,2.01,49.62
CLINICAL INFECTIOUS DISEASES,1058-4838,1537-6591,IMMUNOLOGY,SCIE,"77,846",7.3,Q1,2.0,33.92
mAbs,1942-0862,1942-0870,"MEDICINE, RESEARCH & EXPERIMENTAL",SCIE,"7,245",7.3,Q1,1.65,100.0
ONCOGENE,0950-9232,1476-5594,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,"60,082",7.3,Q1,1.5,38.62
Stem Cell Research & Therapy,,1757-6512,CELL & TISSUE ENGINEERING,SCIE,"26,143",7.3,Q1,1.36,100.0
CHINESE MEDICAL JOURNAL,0366-6999,2542-5641,"MEDICINE, GENERAL & INTERNAL",SCIE,"14,639",7.3,Q1,1.32,100.0
AMERICAN PSYCHOLOGIST,0003-066X,1935-990X,"PSYCHOLOGY, MULTIDISCIPLINARY",SSCI,"37,479",7.2,Q1,3.67,26.56
JACC-Basic to Translational Science,2452-302X,2452-302X,CARDIAC & CARDIOVASCULAR SYSTEMS,SCIE,"4,274",7.2,Q1,2.06,99.58
JNCI-Journal of the National Cancer Institute,0027-8874,1460-2105,ONCOLOGY,SCIE,"33,241",7.2,Q1,1.92,25.95
PLOS BIOLOGY,1544-9173,1545-7885,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,"39,336",7.2,Q1,1.71,99.81
Deutsches Arzteblatt International,1866-0452,1866-0452,"MEDICINE, GENERAL & INTERNAL",SCIE,"9,535",7.2,Q1,1.68,1.47
Cell Chemical Biology,2451-9456,2451-9448,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,"9,105",7.2,Q1,1.5,13.88
INTERNATIONAL JOURNAL OF NURSING STUDIES,0020-7489,1873-491X,NURSING,"SCIE, SSCI","17,539",7.1,Q1,2.89,34.48
Clinical Journal of the American Society of Nephrology,1555-9041,1555-905X,UROLOGY & NEPHROLOGY,SCIE,"21,246",7.1,Q1,2.69,12.36
INTERNATIONAL ENDODONTIC JOURNAL,0143-2885,1365-2591,"DENTISTRY, ORAL SURGERY & MEDICINE",SCIE,"12,667",7.1,Q1,2.08,31.62
Blood Advances,2473-9529,2473-9537,HEMATOLOGY,SCIE,"23,013",7.1,Q1,1.88,98.94
NEUROPSYCHOPHARMACOLOGY,0893-133X,1740-634X,NEUROSCIENCES,SCIE,"29,247",7.1,Q1,1.73,41.78
AGING CELL,1474-9718,1474-9726,CELL BIOLOGY,SCIE,"19,020",7.1,Q1,1.59,98.72
EUROPEAN JOURNAL OF CANCER,0959-8049,1879-0852,ONCOLOGY,SCIE,"38,289",7.1,Q1,1.59,34.62
Organizational Psychology Review,2041-3866,2041-3874,"PSYCHOLOGY, APPLIED",SSCI,"1,385",7.1,Q1,1.46,26.23
AGE AND AGEING,0002-0729,1468-2834,GERIATRICS & GERONTOLOGY,SCIE,"20,540",7.1,Q1,1.34,41.34
Environmental Technology & Innovation,2352-1864,2352-1864,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,SCIE,"19,172",7.1,Q1,1.25,100.0
Journal of Genetics and Genomics,1673-8527,1873-5533,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,"4,491",7.1,Q1,1.2,34.74
Acta Ecologica Sinica,1872-2032,1872-2032,ECOLOGY,ESCI,"6,435",7.1,Q1,0.82,1.03
FERTILITY AND STERILITY,0015-0282,1556-5653,OBSTETRICS & GYNECOLOGY,SCIE,"42,032",7.0,Q1,2.4,15.41
JOURNAL OF ENVIRONMENTAL PSYCHOLOGY,0272-4944,1522-9610,"PSYCHOLOGY, MULTIDISCIPLINARY",SSCI,"20,719",7.0,Q1,1.85,43.97
Circulation-Cardiovascular Imaging,1941-9651,1942-0080,CARDIAC & CARDIOVASCULAR SYSTEMS,SCIE,"7,805",7.0,Q1,1.83,15.76
JOURNAL OF CHILD PSYCHOLOGY AND PSYCHIATRY,0021-9630,1469-7610,PSYCHIATRY,"SCIE, SSCI","22,546",7.0,Q1,1.79,58.84
HABITAT INTERNATIONAL,0197-3975,1873-5428,DEVELOPMENT STUDIES,SSCI,"12,035",7.0,Q1,1.71,20.13
JOURNAL OF AUTOIMMUNITY,0896-8411,1095-9157,IMMUNOLOGY,SCIE,"10,484",7.0,Q1,1.7,37.94
Journal of Tissue Engineering,2041-7314,2041-7314,CELL & TISSUE ENGINEERING,SCIE,"2,644",7.0,Q1,1.41,98.73
General Psychiatry,2096-5923,2517-729X,PSYCHIATRY,ESCI,"1,768",7.0,Q1,1.37,100.0
CURRENT OPINION IN STRUCTURAL BIOLOGY,0959-440X,1879-033X,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,"12,835",7.0,Q1,1.36,42.35
Cell Death Discovery,,2058-7716,CELL BIOLOGY,SCIE,"13,226",7.0,Q1,0.99,100.0
CURRENT OPINION IN BIOTECHNOLOGY,0958-1669,1879-0429,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,SCIE,"18,641",7.0,Q1,0.95,32.93
Scientific Data,,2052-4463,MULTIDISCIPLINARY SCIENCES,SCIE,"38,150",6.9,Q1,1.69,99.9
AMERICAN JOURNAL OF CLINICAL NUTRITION,0002-9165,1938-3207,NUTRITION & DIETETICS,SCIE,"52,934",6.9,Q1,1.49,35.12
Neurotherapeutics,1933-7213,1878-7479,CLINICAL NEUROLOGY,SCIE,"9,858",6.9,Q1,1.49,60.0
MICROBIOLOGICAL RESEARCH,0944-5013,1618-0623,MICROBIOLOGY,SCIE,"12,987",6.9,Q1,1.31,16.29
Aging and Disease,2152-5250,2152-5250,GERIATRICS & GERONTOLOGY,SCIE,"7,616",6.9,Q1,1.28,97.47
ARCHIVES OF TOXICOLOGY,0340-5761,1432-0738,TOXICOLOGY,SCIE,"15,815",6.9,Q1,1.26,45.28
Cell Reports,2639-1856,2211-1247,CELL BIOLOGY,SCIE,"101,811",6.9,Q1,1.23,99.34
Current Opinion in Psychology,2352-250X,2352-2518,"PSYCHOLOGY, MULTIDISCIPLINARY",SSCI,"13,537",6.9,Q1,1.21,30.12
BIODRUGS,1173-8804,1179-190X,IMMUNOLOGY,SCIE,"3,460",6.9,Q1,1.16,48.84
Intelligent Medicine,2667-1026,2667-1026,MEDICAL INFORMATICS,ESCI,448,6.9,Q1,0.85,100.0
Chemical Biology Letters,,2347-9825,BIOCHEMISTRY & MOLECULAR BIOLOGY,ESCI,464,6.9,Q1,0.56,6.58
RHINOLOGY,0300-0729,0300-0729,OTORHINOLARYNGOLOGY,SCIE,"4,095",6.8,Q1,3.35,1.11
Autism in Adulthood,2573-9581,2573-959X,"PSYCHOLOGY, DEVELOPMENTAL",SSCI,"1,924",6.8,Q1,3.16,10.0
International Forum of Allergy & Rhinology,2042-6976,2042-6984,OTORHINOLARYNGOLOGY,SCIE,"5,834",6.8,Q1,2.89,24.34
JOURNAL OF CLINICAL PERIODONTOLOGY,0303-6979,1600-051X,"DENTISTRY, ORAL SURGERY & MEDICINE",SCIE,"21,829",6.8,Q1,2.79,34.93
EUROPEAN JOURNAL OF VASCULAR AND ENDOVASCULAR SURGERY,1078-5884,1532-2165,PERIPHERAL VASCULAR DISEASE,SCIE,"13,626",6.8,Q1,2.21,36.97
Photoacoustics,2213-5979,2213-5979,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING",SCIE,"3,616",6.8,Q1,2.05,99.06
IEEE Journal of Biomedical and Health Informatics,2168-2194,2168-2208,MEDICAL INFORMATICS,SCIE,"20,045",6.8,Q1,1.84,8.25
EUROPEAN JOURNAL OF ANAESTHESIOLOGY,0265-0215,1365-2346,ANESTHESIOLOGY,SCIE,"5,935",6.8,Q1,1.78,18.14
METABOLIC ENGINEERING,1096-7176,1096-7184,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,SCIE,"11,265",6.8,Q1,1.74,32.45
Alzheimers & Dementia-Translational Research & Clinical Interventions,,2352-8737,CLINICAL NEUROLOGY,ESCI,"3,736",6.8,Q1,1.57,94.82
Clinical and Translational Medicine,2001-1326,2001-1326,"MEDICINE, RESEARCH & EXPERIMENTAL",SCIE,"9,628",6.8,Q1,1.56,98.5
Current Opinion in Chemical Engineering,2211-3398,2211-3398,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,SCIE,"5,022",6.8,Q1,1.53,23.53
BRITISH JOURNAL OF CANCER,0007-0920,1532-1827,ONCOLOGY,SCIE,"49,627",6.8,Q1,1.4,56.51
JOURNAL OF ORGANIZATIONAL BEHAVIOR,0894-3796,1099-1379,"PSYCHOLOGY, APPLIED",SSCI,"19,524",6.8,Q1,1.38,36.04
Science Signaling,1945-0877,1937-9145,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,"14,158",6.8,Q1,1.26,3.52
JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY,0022-3514,1939-1315,"PSYCHOLOGY, SOCIAL",SSCI,"81,673",6.7,Q1,2.49,20.4
BMJ Quality & Safety,2044-5415,2044-5423,HEALTH CARE SCIENCES & SERVICES,SCIE,"7,550",6.7,Q1,1.83,46.99
ALIMENTARY PHARMACOLOGY & THERAPEUTICS,0269-2813,1365-2036,GASTROENTEROLOGY & HEPATOLOGY,SCIE,"24,332",6.7,Q1,1.74,31.96
MAYO CLINIC PROCEEDINGS,0025-6196,1942-5546,"MEDICINE, GENERAL & INTERNAL",SCIE,"20,392",6.7,Q1,1.61,10.96
Circulation-Cardiovascular Quality and Outcomes,1941-7705,1941-7713,CARDIAC & CARDIOVASCULAR SYSTEMS,SCIE,"7,657",6.7,Q1,1.51,9.61
EUROPEAN NEUROPSYCHOPHARMACOLOGY,0924-977X,1873-7862,CLINICAL NEUROLOGY,SCIE,"8,698",6.7,Q1,1.41,46.8
EUROPEAN PSYCHIATRY,0924-9338,1778-3585,PSYCHIATRY,"SCIE, SSCI","8,077",6.7,Q1,1.39,100.0
United European Gastroenterology Journal,2050-6406,2050-6414,GASTROENTEROLOGY & HEPATOLOGY,SCIE,"4,930",6.7,Q1,1.18,76.41
ALLERGOLOGY INTERNATIONAL,1323-8930,1440-1592,ALLERGY,SCIE,"3,764",6.7,Q1,1.16,99.43
International Review of Sport and Exercise Psychology,1750-984X,1750-9858,"PSYCHOLOGY, APPLIED",SSCI,"2,575",6.7,Q1,1.16,22.78
Neural Regeneration Research,1673-5374,1876-7958,CELL BIOLOGY,SCIE,"14,476",6.7,Q1,1.13,98.91
FRONTIERS IN NEUROENDOCRINOLOGY,0091-3022,1095-6808,NEUROSCIENCES,SCIE,"5,522",6.7,Q1,0.97,39.13
Current Psychiatry Reports,1523-3812,1535-1645,PSYCHIATRY,"SCIE, SSCI","9,854",6.7,Q1,0.93,30.0
JOURNAL OF INVESTIGATIONAL ALLERGOLOGY AND CLINICAL IMMUNOLOGY,1018-9068,1698-0808,ALLERGY,SCIE,"2,473",6.7,Q1,0.9,99.01
EPILEPSIA,0013-9580,1528-1167,CLINICAL NEUROLOGY,SCIE,"31,692",6.6,Q1,1.89,41.58
Japanese Dental Science Review,1882-7616,2213-6851,"DENTISTRY, ORAL SURGERY & MEDICINE",SCIE,"1,592",6.6,Q1,1.84,100.0
European Heart Journal-Cardiovascular Imaging,2047-2404,2047-2412,CARDIAC & CARDIOVASCULAR SYSTEMS,SCIE,"10,917",6.6,Q1,1.72,27.08
npj Vaccines,,2059-0105,IMMUNOLOGY,SCIE,"5,066",6.6,Q1,1.57,100.0
EMERGING INFECTIOUS DISEASES,1080-6040,1080-6059,IMMUNOLOGY,SCIE,"33,107",6.6,Q1,1.54,98.27
Journal of Allergy and Clinical Immunology-In Practice,2213-2198,2213-2201,ALLERGY,SCIE,"16,337",6.6,Q1,1.46,19.53
CLINICAL PSYCHOLOGY-SCIENCE AND PRACTICE,0969-5893,1468-2850,"PSYCHOLOGY, CLINICAL",SSCI,"4,631",6.6,Q1,1.43,22.35
Ecosystem Services,2212-0416,2212-0416,ECOLOGY,SCIE,"10,896",6.6,Q1,1.34,45.58
Antioxidants,,2076-3921,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,"67,105",6.6,Q1,1.19,100.0
REVIEWS IN MEDICAL VIROLOGY,1052-9276,1099-1654,VIROLOGY,SCIE,"4,981",6.6,Q1,1.07,18.49
TRENDS IN PARASITOLOGY,1471-4922,1471-5007,PARASITOLOGY,SCIE,"8,192",6.6,Q1,1.04,24.52
Inflammation and Regeneration,,1880-8190,IMMUNOLOGY,SCIE,"1,970",6.6,Q1,1.0,100.0
Reviews of Environmental Contamination and Toxicology,0179-5953,2197-6554,TOXICOLOGY,SCIE,"3,083",6.6,Q1,0.7,8.45
ANNALS OF SURGERY,0003-4932,1528-1140,SURGERY,SCIE,"54,666",6.5,Q1,4.18,13.84
INTERNATIONAL JOURNAL OF RADIATION ONCOLOGY BIOLOGY PHYSICS,0360-3016,1879-355X,ONCOLOGY,SCIE,"42,372",6.5,Q1,1.58,15.36
npj Regenerative Medicine,,2057-3995,CELL & TISSUE ENGINEERING,SCIE,"2,702",6.5,Q1,1.42,100.0
International Journal of Nanomedicine,1178-2013,1178-2013,PHARMACOLOGY & PHARMACY,SCIE,"41,602",6.5,Q1,1.24,98.36
Journal of Biological Engineering,1754-1611,1754-1611,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,SCIE,"2,639",6.5,Q1,1.14,100.0
QJM-AN INTERNATIONAL JOURNAL OF MEDICINE,1460-2725,1460-2393,"MEDICINE, GENERAL & INTERNAL",SCIE,"6,521",6.5,Q1,0.96,21.97
MOLECULES AND CELLS,1016-8478,0219-1032,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,"6,113",6.5,Q1,0.74,100.0
PEDIATRICS,0031-4005,1098-4275,PEDIATRICS,SCIE,"78,239",6.4,Q1,3.17,2.59
JOURNAL OF EDUCATIONAL PSYCHOLOGY,0022-0663,1939-2176,"PSYCHOLOGY, EDUCATIONAL",SSCI,"21,561",6.4,Q1,2.21,38.42
International Journal of Pharmaceutics-X,,2590-1567,PHARMACOLOGY & PHARMACY,SCIE,"1,319",6.4,Q1,1.87,100.0
Pulmonology,2531-0437,2531-0437,RESPIRATORY SYSTEM,SCIE,"1,601",6.4,Q1,1.84,94.7
AGRICULTURE ECOSYSTEMS & ENVIRONMENT,0167-8809,1873-2305,ECOLOGY,SCIE,"35,680",6.4,Q1,1.67,27.11
PERSONNEL PSYCHOLOGY,0031-5826,1744-6570,"PSYCHOLOGY, APPLIED",SSCI,"10,445",6.4,Q1,1.63,28.89
Information Technology for Development,0268-1102,1554-0170,DEVELOPMENT STUDIES,SSCI,"2,112",6.4,Q1,1.51,19.42
Oncogenesis,2157-9024,2157-9024,ONCOLOGY,SCIE,"4,427",6.4,Q1,1.29,100.0
JOURNAL OF TRAVEL MEDICINE,1195-1982,1708-8305,INFECTIOUS DISEASES,SCIE,"4,001",6.4,Q1,1.21,30.97
MOLECULAR MEDICINE,1076-1551,1528-3658,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,"8,311",6.4,Q1,1.19,100.0
JOURNAL OF CELL BIOLOGY,0021-9525,1540-8140,CELL BIOLOGY,SCIE,"56,929",6.4,Q1,1.08,57.78
CLINICAL AND EXPERIMENTAL ALLERGY,0954-7894,1365-2222,ALLERGY,SCIE,"10,093",6.4,Q1,1.03,50.23
GLOBAL CHALLENGES,,2056-6646,MULTIDISCIPLINARY SCIENCES,SCIE,"2,733",6.4,Q1,0.89,97.64
CRITICAL REVIEWS IN BIOCHEMISTRY AND MOLECULAR BIOLOGY,1040-9238,1549-7798,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,"4,127",6.4,Q1,0.67,15.15
Journal of Nursing Regulation,2155-8256,2155-8264,NURSING,"SCIE, SSCI",875,6.3,Q1,3.09,0.0
CLINICAL CHEMISTRY,0009-9147,1530-8561,MEDICAL LABORATORY TECHNOLOGY,SCIE,"22,114",6.3,Q1,2.49,29.9
JOURNAL OF PINEAL RESEARCH,0742-3098,1600-079X,NEUROSCIENCES,SCIE,"10,458",6.3,Q1,2.14,29.57
ULTRASOUND IN OBSTETRICS & GYNECOLOGY,0960-7692,1469-0705,OBSTETRICS & GYNECOLOGY,SCIE,"17,400",6.3,Q1,2.02,33.21
Korean Journal of Anesthesiology,2005-6419,2005-7563,ANESTHESIOLOGY,SCIE,"4,385",6.3,Q1,1.84,100.0
LONG RANGE PLANNING,0024-6301,1873-1872,DEVELOPMENT STUDIES,SSCI,"8,824",6.3,Q1,1.8,43.1
DENTAL MATERIALS,0109-5641,1879-0097,"DENTISTRY, ORAL SURGERY & MEDICINE",SCIE,"19,159",6.3,Q1,1.74,30.63
COMPUTERS IN BIOLOGY AND MEDICINE,0010-4825,1879-0534,BIOLOGY,SCIE,"33,200",6.3,Q1,1.65,17.91
Emergencias,1137-6821,2386-5857,EMERGENCY MEDICINE,SCIE,"1,041",6.3,Q1,1.63,53.98
ECOLOGICAL ECONOMICS,0921-8009,1873-6106,ECOLOGY,SCIE,"35,499",6.3,Q1,1.57,45.45
